Turdus philomelos:Singdrossel,Song Thrush
Troglodytes troglodytes:Zaunkönig,Eurasian wren
Phylloscopus collybita:Zilpzalp,Common/Iberian Chiffchaff
Erithacus rubecula:Rotkehlchen,Robin
Sylvia atricapilla:Mönchsgrasmücke,Eurasian Blackcap
Sitta europaea:Kleiber,Eurasian nuthatch
Parus major:Kohlmeise,Great Tit (Turkestan)
Fringilla coelebs:Bunchfink,Common chaffinch
Certhia brachydactyla:Gartenbaumläufer,Short-toed Treecreeper
Oriolus oriolus:Pirol,Golden Oriole
Prunella modularis:Heckenbraunelle,Dunnock / Hedge Accentor
Periparus ater:Tannenmeise,Coal Tit (Continental)
Garrulus glandarius:Eichelhäher,Eurasian Jay (Himalayan)
Picus viridis:Grünspecht,Green Woodpecker
Turdus merula:Amsel,Eurasian Blackbird / Common Blackbird
Cyanistes caeruleus:Blaumeise,Eurasian Blue-Tit
Dendrocopos major:Buntspecht,Great Spotted/Syrian Woodpecker
Turdus pilaris:Wacholderdrossel,Fieldfare
Regulus ignicapilla:None,Firecrest
